chapterId,chapterTitle,questionId,questionText
"PID_01HEMM0FM9CEWEA2GD4XNNMC4G","How much have global temperatures risen between 1850 and 2020?","CID_01HEMKW0074SVTJESYCXGTW8QM","Introduction to Climate Change"
"PID_01HEMM353QF459M9J7NJR6KEMQ","The rate of growth of average annual Greenhouse Gas emissions was higher in 2010-2019 than in 2000-2009","CID_01HEMKW0074SVTJESYCXGTW8QM","Introduction to Climate Change"
"PID_01HEMM40WMJCS401WQ5GJAF098","Rank the sectors contributing to GHG emissions from highest to lowest","CID_01HEMKW0074SVTJESYCXGTW8QM","Introduction to Climate Change"
"PID_01HEMM8K9QE3Z743GTGAKSYES1","Click the region with the most Net GHG emissions per capita","CID_01HEMKW0074SVTJESYCXGTW8QM","Introduction to Climate Change"
"PID_01HEMZDTKJ987KQWRMYTBWCJ45","Stay updated on cool climate initiatives hassle-free. Just leave your email and you'll get all the latest from our team. It's good fun with zero fuss!","CID_01HEMKW0074SVTJESYCXGTW8QM","Introduction to Climate Change"
"PID_01HEMMAGC42EDG6NN58NCZPZKH","What contributed most to global warming?","CID_01HEMKW95JCP3VXM88JFG8N9A8","Results of Climate Change"
"PID_01HEPZB8K8S59RK1FB157QKP46","What percentage of the population experiences severe water scarcity for at least some part of the year?","CID_01HEMKW95JCP3VXM88JFG8N9A8","Results of Climate Change"
"PID_01HEMMB9KBW03NDVAK4R4AFV7W","How much higher are human mortality rates caused by floods, storms, and droughts in highly vulnerable regions compared to low-vulnerability regions?","CID_01HEMKW95JCP3VXM88JFG8N9A8","Results of Climate Change"
"PID_01HEMZERQP4G0K3YTDB26SS5V2","Stay updated on cool climate initiatives hassle-free. Just leave your email and you'll get all the latest from our team. It's good fun with zero fuss!","CID_01HEMKW95JCP3VXM88JFG8N9A8","Results of Climate Change"
"PID_01HEMMDBKZJCHFE90GZR98F7VS","Which of the following best describes the aim of the Paris Agreement?","CID_01HEMKWEVP24J1082XJ730979N","Adaptation & Mitigation to Climate Change"
"PID_01HEMME603BFHT32P1P7RFVFV3","What was the goal for the public and publicly mobilized private climate finance flow from developed to developing countries per year, set in 2018 by the UNFCCC and the Paris Agreement?","CID_01HEMKWEVP24J1082XJ730979N","Adaptation & Mitigation to Climate Change"
"PID_01HEPZS4ZE16JZ0SWGQW0DGXSB","How many countries have already adopted laws focused primarily on reducing GHG emissions in 2020?","CID_01HEMKWEVP24J1082XJ730979N","Adaptation & Mitigation to Climate Change"
"PID_01HEMZKSW4VKRHS21VCX6477QZ","Stay updated on cool climate initiatives hassle-free. Just leave your email and you'll get all the latest from our team. It's good fun with zero fuss!","CID_01HEMKWEVP24J1082XJ730979N","Adaptation & Mitigation to Climate Change"
"PID_01HEMMFKZM8MS6C128SGVRRXZM","Based on current NDCs (Nationally Determined Contribution) announced before COP26, global warming will likely exceed/stay under 1.5C during the 21st century.","CID_01HEMKWK1WJG70SMY28XNGH94W","Gaps in Adaptations to Climate Change"
"PID_01HEMMN1KF3FRSMTRJFZ1PST62","Rank the the three biggest challenges for mitigation strategy implementations from most challenging to least challenging.","CID_01HEMKWK1WJG70SMY28XNGH94W","Gaps in Adaptations to Climate Change"
"PID_01HEMMNSE3VZPDEXJG2SVX4RMM","Many adaptation initiatives prioritize immediate climate risk reduction for which time period?","CID_01HEMKWK1WJG70SMY28XNGH94W","Gaps in Adaptations to Climate Change"
"PID_01HEMMPJB0AKK89ZJTEGQDG7XP","How many countries have the intention of achieving net zero emissions by 2050?","CID_01HEMKWK1WJG70SMY28XNGH94W","Gaps in Adaptations to Climate Change"
"PID_01HEMZNG1FAGV3VQGX16QHQ3Y4","Stay updated on cool climate initiatives hassle-free. Just leave your email and you'll get all the latest from our team. It's good fun with zero fuss!","CID_01HEMKWK1WJG70SMY28XNGH94W","Gaps in Adaptations to Climate Change"
"PID_01HEMMQVPR52G4BG8DJ2064ADJ","Which of the following statements about sea level rise is true, according to the report?","CID_01HEMKWQFCF9DKF3GNN99KG65K","Long-Term Climate Change, Impacts and Related Risks"
